cell_line,Gene Symbol,n_sgrnas,z_scored_avg_lfc,p_value,FDR
A375,MIR1282,1,-0.4459554468605877,0.3049825752044051,0.5917104958949477
A375,MIR130AHG,1,-0.0779266396502602,0.4418263201781449,0.7213041238592488
A375,MIR137HG,3,-2.261344569612851,0.04009769756498378,0.172755915221671
A375,MIR181A1HG,1,-0.5455844714597706,0.27259289036666334,0.5542237218976137
A375,MIR29B2CHG,1,-0.5435302263185702,0.2732360476245768,0.5550640942883149
A375,MIR302CHG,2,-1.481671161867989,0.08898713361382615,0.2810368218941342
A375,MIR3185,3,-0.9218520753572534,0.1739397227961143,0.4229475933777456
A375,MIR31HG,4,-4.21908919124501,0.0036881319512135965,0.02860055878483657
A375,MIR3661,1,-4.832443058412966,0.0016218376763235556,0.014501359381159559
A375,MIR4271,1,-0.6334749653734276,0.24610957171099407,0.5200320534716986
A375,MIR4432HG,3,1.2072407453587344,0.9134591388765106,0.978044381060502
A375,MIR4658,1,-0.083349314806258,0.43965149178233287,0.7191174833213596
A375,MIR497HG,4,-1.9724136534178005,0.05271563397713245,0.20253993209828655
A375,MIR6720,1,0.651481295702742,0.7502595428315019,0.9124428066429584
A375,MIR6800,1,-1.4966853633375363,0.08747795269355971,0.2779323442995244
A375,MIR7704,1,0.5734366291297998,0.7192297335526086,0.8970431260501585
A375,MIR7847,1,1.053235215475774,0.8788691387383735,0.9676579973079887
A375,MIR937,1,-1.5086488048957811,0.08629788696302718,0.2758802188318727
A375,MIS12,3,-8.459388490974927,2.5775870876885567e-27,6.854199256861527e-26
A375,MIS18A,3,-7.782769942975933,2.522307208994719e-17,5.049176730770565e-16
A375,MIS18BP1,3,-6.262824880664371,4.0576876055016954e-05,0.0005161725103418988
A375,MISFA,3,-0.14855259515759484,0.4138320969530882,0.6983312157272356
A375,MISP,3,-0.5924748515168614,0.25820920058460467,0.5359507038302043
A375,MISP3,3,-1.7148997766812069,0.06874441685267156,0.238469489260228
A375,MITD1,3,-0.469969185737679,0.29695846158720907,0.5830048661723539
A375,MITF,3,-0.1201272993069096,0.42501200024611197,0.7074198881128617
A375,MIURF,3,0.8270741468693105,0.8133095718901364,0.9428669851648119
A375,MIX23,3,-0.9523087652408474,0.16759824511075483,0.41415967077068866
A375,MIXL1,3,-0.25156567211287584,0.37435474780143785,0.6629870223007862
A375,MKI67,3,-0.21207162489342704,0.3892911117255197,0.6775134587099598
A375,MKKS,9,1.3147088232212458,0.9330371427215643,0.9843813044188148
A375,MKLN1,3,-1.032610490958481,0.1519557679231862,0.39156886334561
A375,MKNK1,3,-0.34458791689024704,0.34023926896849405,0.6306114077406954
A375,MKNK2,3,-0.0956803981305383,0.43472148731537175,0.7152822716245348
A375,MKRN1,3,-2.026477472516464,0.04999769194655149,0.19612018238425474
A375,MKRN2,3,0.669440019824125,0.757160429428989,0.9171220630339456
A375,MKRN2OS,3,0.6747487589301536,0.7591819680205071,0.9185354843440369
A375,MKRN3,3,-0.6795968137840239,0.23304395394683378,0.5039239424710052
A375,MKS1,3,0.3975575105625371,0.6446841614463442,0.8582863376395993
A375,MKX,3,2.4469247140263692,0.9984708496804265,1.0
A375,MLANA,3,-0.9109767552601381,0.17626032503513311,0.42640431082976255
A375,MLC1,3,0.4259627900303355,0.6570161401776686,0.8651394965364985
A375,MLDHR,3,-1.3463966809025645,0.1041129202624412,0.30989861421867265
A375,MLEC,3,-0.049326264221136375,0.45336502393772815,0.7310015624626571
A375,MLF1,3,0.1101511339456537,0.5196860178629928,0.7795646790695221
A375,MLF2,3,-0.9247770448603359,0.17332066936497786,0.42210475497343086
A375,MLH1,3,-0.7205191793189912,0.22194100846627662,0.4894326765124523
A375,MLH3,3,1.1855879729644878,0.909070086514054,0.9771399941038864
A375,MLIP,3,-1.5169161485737792,0.08549384130324554,0.2743849084854017
A375,MLKL,3,0.17039537571715252,0.545511712571568,0.796004154253781
A375,MLLT1,3,-0.723366310177003,0.221185723017152,0.4886015957267969
A375,MLLT10,3,-4.015805865453671,0.004990894671982242,0.03681160998779412
A375,MLLT11,3,-2.3115299104478133,0.03828781394429068,0.1688323369017827
A375,MLLT3,3,-0.35642550956149605,0.3360130871089104,0.626455589670966
A375,MLLT6,3,-1.4737899165560309,0.08979210599340282,0.28225744507369943
A375,MLN,3,-0.23024095913126802,0.3823878887985207,0.6714416451234623
A375,MLNR,3,0.30900898352755324,0.6059472163034237,0.8343396678777103
A375,MLPH,3,-1.611686598355513,0.07690739849793342,0.25681104144978023
A375,MLST8,3,-2.99778488824131,0.018861507265515234,0.10479567065690641
A375,MLX,3,-1.5362197154387947,0.08365215045885338,0.270877079056766
A375,MLXIP,3,-3.758717038022376,0.007161452987082909,0.04933671890494246
A375,MLXIPL,3,-1.7564532183074,0.06576760300126229,0.2322602737201545
A375,MLYCD,3,-2.092597508652988,0.04692365010535472,0.18910222855879125
A375,MMAA,3,1.1784086494171633,0.9075811557744983,0.9765773249388914
A375,MMAB,3,-3.8007908287519556,0.006755140341121073,0.04725954746176848
A375,MMACHC,3,-1.1021425597130632,0.13961147856037587,0.3711209394054324
A375,MMADHC,3,0.51172430165483,0.6936598537761183,0.8837974158001626
A375,MMD,3,-1.6715694665876897,0.07203213176687714,0.24586558590013097
A375,MMD2,3,-1.042804422336011,0.15007810740155475,0.38875183977079153
A375,MME,3,0.5469788199404858,0.7083660178764053,0.891392854050871
A375,MMEL1,3,-0.5263577072580294,0.2786544197002649,0.5619268866163867
A375,MMGT1,3,-4.023922491749274,0.004932828201699787,0.036475933896183504
A375,MMP1,3,0.6006972971780377,0.7302499740986447,0.9035173023730478
A375,MMP10,3,-2.301165106230018,0.038654954307788855,0.16947364517398997
A375,MMP11,3,-0.5813192614149434,0.26157904566457685,0.5401550120061229
A375,MMP12,3,-0.2886547731295303,0.3605666099337358,0.6498242425577876
A375,MMP13,3,0.31201964631265,0.6072672393529135,0.8350501814783704
A375,MMP14,3,1.4080127224934404,0.9471937036124214,0.9869327685386148
A375,MMP15,3,0.11043058074485677,0.5198049469898623,0.7796067871057945
A375,MMP16,3,2.249637104248282,0.9967724321595007,1.0
A375,MMP17,3,-0.6165474401344435,0.2510502915474093,0.5263563216827551
A375,MMP19,3,-0.3403438673925843,0.34176108320825416,0.631758916532767
A375,MMP2,3,0.19604344833361856,0.5566085156427563,0.8036316914063384
A375,MMP20,3,0.6426675455710263,0.7468382596099292,0.9111785353843168
A375,MMP21,3,-0.30031538675621783,0.3562814857965071,0.6454893990798738
A375,MMP23B,2,-3.6998392249559995,0.007769707647284617,0.05268792431129408
A375,MMP24,3,-1.7852536416213753,0.06380016383664935,0.22833070645635473
A375,MMP24OS,4,-0.6907434116351429,0.22997392137962475,0.4999367605260367
A375,MMP25,3,-1.5878264118152887,0.07896430166802194,0.2612297532831879
A375,MMP25-AS1,4,1.669739400658012,0.974824769289011,0.9951639490049153
A375,MMP26,3,1.7401940201312527,0.9797923907266682,0.9968912018608
A375,MMP27,3,0.8531110361278715,0.8217714538549858,0.9471199991303015
A375,MMP28,3,-1.4651067374130329,0.09068932449151118,0.28385999603531165
A375,MMP3,3,-2.2113534873946095,0.04198938562408785,0.17752870862096157
A375,MMP7,3,-0.725314058764381,0.2206703132812039,0.48778759282560963
A375,MMP8,3,0.4119817003178009,0.6509552626987347,0.8622884730909829
A375,MMP9,3,-1.0634757123807566,0.14634299612816284,0.38271155316919464
A375,MMRN1,3,0.18631126132363973,0.5523914875503607,0.8010711770192821
A375,MMRN2,3,-1.9254610504111718,0.055240099163099424,0.20804329033375363
A375,MMS19,3,-8.953824446335235,2.024162822363122e-36,7.42012116002229e-35
A375,MMS22L,3,-9.553803934607425,1.6020786937098616e-49,1.1248915685954953e-47
A375,MMUT,3,-0.13673705336913156,0.41846475991217524,0.7019318722350443
A375,MN1,3,-0.5765838135758798,0.2630194387845719,0.5419179766659784
A375,MNAT1,3,-9.014120758533041,1.2342205562195045e-37,4.7178486755094575e-36
A375,MND1,3,1.2169158942240832,0.9153712961699143,0.9787203264943188
A375,MNDA,3,-1.24617849111286,0.1172934865416739,0.3333066393996063
A375,MNS1,3,-0.5088877947344782,0.28424242957011003,0.5683136876840096
A375,MNT,3,-0.7443246535465593,0.21569467180034219,0.48168839622927917
A375,MNX1,3,-0.19981296918768868,0.3939785186206842,0.681393709348307
A375,MOAP1,3,-0.9851461663473758,0.16101607301952792,0.40441559288511963
A375,MOB1A,3,1.006756958178053,0.8668544100372984,0.9650604951080958
A375,MOB1B,4,0.8092295379942573,0.8073735086953588,0.939617812498189
A375,MOB2,3,-0.777990700292721,0.20712691488588417,0.4705147716609162
A375,MOB3A,3,-1.1145222709252498,0.13752512771896713,0.3673395579032887
A375,MOB3B,3,0.22602764689389077,0.5696441055739134,0.8120776374111015
A375,MOB3C,3,0.16454722531819313,0.5429893110231991,0.7941359623365535
A375,MOB4,3,-7.275428053296315,1.0766570928116073e-11,1.7988919837551808e-10
A375,MOBP,3,1.1967480221059665,0.9113512413632925,0.9778271640517189
A375,MOCOS,3,-1.7498862820417227,0.06622700570507395,0.23331542209968525
A375,MOCS1,3,-0.6186404215006438,0.2504352078428138,0.5255882847638464
A375,MOCS2,3,-2.4495351830833982,0.03367137173275335,0.15522268165723485
A375,MOCS3,3,-9.265213973046365,6.1346393657073654e-43,3.007914630768035e-41
A375,MOG,3,0.006366550073096122,0.4761552340939315,0.7467628795924722
A375,MOGAT1,3,1.3488370186326681,0.9385108200534686,0.9852738112747678
A375,MOGAT2,3,-1.5487726236957662,0.08248079667323813,0.2686666006282729
A375,MOGAT3,3,-0.3804402392974113,0.32752495815908667,0.6169550564984145
A375,MOGS,3,-5.591771065303597,0.0007946769310451613,0.008670932654657555
A375,MOK,3,0.26457087154527004,0.5864772722724142,0.8214815529400367
A375,MON1A,3,-0.4468401362854621,0.3046846152828882,0.5912804896283905
A375,MON1B,3,0.4558336613846163,0.669895177040219,0.8721659184130709
A375,MON2,3,-5.030940666448582,0.001289317819248165,0.012210690887182806
A375,MORC1,3,1.171324764419727,0.9060954952213802,0.9761537757585916
A375,MORC2,3,-0.03602030803707717,0.45877185167359724,0.7342926236216128
A375,MORC3,3,1.0691587127153876,0.8828147994118234,0.968491798590049
A375,MORC4,3,1.2437038682671127,0.920509111924658,0.9802754580595702
A375,MORF4L1,3,-3.199307948160564,0.014896019013358755,0.08780075523445875
A375,MORF4L2,3,-0.6768636140788294,0.23380196483556917,0.5048160284629137
A375,MORN1,3,-1.7930883173488696,0.06327803255161683,0.2271266030165447
A375,MORN2,3,1.2896343988309995,0.9287912759766375,0.9831263503795191
A375,MORN3,3,-0.058893834178379324,0.449492347797001,0.7279356436594778
A375,MORN4,3,-1.0130235138225316,0.15563074294567342,0.39686351731406583
A375,MORN5,3,-0.5524196313099182,0.2704606640826599,0.5515774213711038
A375,MOS,3,-0.23705552740154456,0.3798126217755676,0.6684253477726766
A375,MOSMO,3,-2.378227159323604,0.0359985162612461,0.16207069130961752
A375,MOSPD1,3,1.2434617358399835,0.9204636951074916,0.9802754580595702
A375,MOSPD2,3,1.5958220975481872,0.9686056540013065,0.9940495760385387
A375,MOSPD3,3,-0.6751226352947697,0.23428587028982878,0.505487647454664
A375,MOV10,3,-2.5543559164387477,0.030431872497368083,0.1455580748338428
A375,MOV10L1,3,-1.5872746643566098,0.0790126707983282,0.2613253852318124
A375,MOXD1,3,0.11028579925274735,0.5197433286942147,0.7795646790695221
A375,MPC1,3,1.5701979191573134,0.9661834701149815,0.9930881472092998
A375,MPC1L,3,0.8090615719861651,0.8073171089620237,0.939617812498189
A375,MPC2,3,0.31170220766721224,0.6071280581286499,0.8349793178487324
A375,MPDU1,3,-3.2946432423333443,0.013267969533567164,0.08037994198484778
A375,MPDU1-AS1,1,-0.8874900307353578,0.1813745466472949,0.43448009056171727
A375,MPDZ,3,1.3672375430922974,0.9413188702386949,0.9858587654101891
A375,MPEG1,3,-0.6269893408789121,0.24799340030723596,0.5226713095889617
A375,MPG,3,0.2480611274475842,0.5792582480613087,0.8178381584544151
A375,MPHOSPH10,3,-6.967369121884801,4.79162697454071e-09,7.316833279586114e-08
A375,MPHOSPH10P2,1,-1.9891555136385584,0.05185309153198803,0.20021892345820463
A375,MPHOSPH10P3,1,-1.9891555136385584,0.05185309153198803,0.20021892345820463
A375,MPHOSPH6,3,-6.421554551111472,9.42849226511451e-06,0.000124151608347607
A375,MPHOSPH8,3,-4.940185708944011,0.0014280328897496176,0.013196386636449647
A375,MPHOSPH9,3,-0.6496434254313836,0.24146304420046555,0.5143288983835597
A375,MPI,3,-1.8946933162418913,0.05698274097971778,0.2123013599085638
A375,MPIG6B,3,0.10082071110524712,0.5157200666649362,0.7760010502766373
A375,MPL,3,-0.6502529305878132,0.2412892778412243,0.5141472546353621
A375,MPLKIP,3,-1.22063719246363,0.12094882237709964,0.33948932136064885
A375,MPND,3,-0.26418196122309084,0.36963798074563425,0.6586993030600586
A375,MPO,3,-0.8532552307785227,0.18908430520325106,0.44551232154268483
A375,MPP1,3,0.30484602022231,0.6041220112671554,0.8329615367738467
A375,MPP2,3,-2.3090143095236377,0.038376618622155335,0.16905060526867174
A375,MPP3,3,-3.7662791631999597,0.0070867265527606105,0.04897490687264625
A375,MPP4,2,0.5920788003453014,0.7267858526237949,0.901202048809135
A375,MPP7,3,0.10110872698203406,0.5158423442317166,0.7760675765334881
